key_id,hashing_key,length,n_texts,exceed,fpr,green_tokens,eligible_positions,p_k,mean_z,sd_z
kgw-000,15485863,128,800,50,0.0625,26652,98487,0.2706143958085839,0.5276228709295946,1.149370064114029
kgw-000,15485863,256,313,29,0.0926517571884984,20629,76943,0.2681075601419232,0.6527283864577372,1.2258546921572526
kgw-000,15485863,512,93,15,0.16129032258064516,12298,45641,0.269450713174558,0.996551484807387,1.2721967522781392
kgw-001,723417547,128,800,9,0.01125,24041,98487,0.24410328266674788,-0.1506073501985552,1.1001205654203563
kgw-001,723417547,256,313,6,0.019169329073482427,18716,76943,0.2432449995451178,-0.24644017783606278,1.1898685885071378
kgw-001,723417547,512,93,1,0.010752688172043012,11155,45641,0.24440744067833747,-0.2891039625746248,1.2381825150764447
kgw-002,97919819,128,800,13,0.01625,25304,98487,0.2569273102033771,0.1773721535600625,1.0716298787023293
kgw-002,97919819,256,313,14,0.04472843450479233,19853,76943,0.25802217225738533,0.29057078498069694,1.1471062326393218
kgw-002,97919819,512,93,5,0.053763440860215055,11841,45641,0.2594377862010035,0.4822617573679598,1.2360381114681325
kgw-003,61299587,128,800,30,0.0375,25245,98487,0.25632824636754087,0.16384898774320042,1.1426535582552368
kgw-003,61299587,256,313,15,0.04792332268370607,19591,76943,0.2546170541829666,0.1707307765059919,1.241547231066957
kgw-003,61299587,512,93,8,0.08602150537634409,11545,45641,0.25295238929909514,0.1528295771684268,1.403413007845748
kgw-004,214893571,128,800,98,0.1225,28296,98487,0.28730695421730784,0.9555108095027794,1.1720644974339742
kgw-004,214893571,256,313,63,0.2012779552715655,21984,76943,0.28571799903824907,1.2961607849149028,1.3012273299376313
kgw-004,214893571,512,93,32,0.34408602150537637,13000,45641,0.28483162069192175,1.7864038321288613,1.240912051027092
kgw-005,244504453,128,800,204,0.255,30343,98487,0.30809142323352323,1.490078875030851,1.2475654853199434
kgw-005,244504453,256,313,134,0.4281150159744409,23612,76943,0.30687651898158375,2.0619611995130724,1.3019660447636328
kgw-005,244504453,512,93,64,0.6881720430107527,13909,45641,0.3047479240156877,2.8095273155276934,1.3272590793093442
kgw-006,1615402669,128,800,64,0.08,27394,98487,0.27814838506604933,0.7208797927816026,1.136303671958407
kgw-006,1615402669,256,313,44,0.14057507987220447,21379,76943,0.27785503554579366,1.008597390102356,1.2230419554146472
kgw-006,1615402669,512,93,23,0.24731182795698925,12573,45641,0.27547599745842555,1.2993716253207144,1.426378469847611
kgw-007,100227623,128,800,15,0.01875,25113,98487,0.2549879679551616,0.12782478854444035,1.0247897116234905
