key_id,hashing_key,length,n_texts,exceed,fpr,green_tokens,eligible_positions,p_k,mean_z,sd_z
kgw-000,15485863,128,800,20,0.025,25174,98371,0.2559087535960801,0.15114894692886008,1.1158964865973506
kgw-000,15485863,256,313,11,0.03514376996805112,19334,76834,0.25163339146731917,0.05837090890943914,1.2247954737294022
kgw-000,15485863,512,93,5,0.053763440860215055,11392,45496,0.25039563917707053,0.018343776415667732,1.361234414707857
kgw-001,723417547,128,800,5,0.00625,23270,98371,0.2365534557948989,-0.3462494610160064,1.050001792644323
kgw-001,723417547,256,313,0,0.0,17980,76834,0.23401098472030613,-0.581415849491424,1.0294119634589751
kgw-001,723417547,512,93,0,0.0,10571,45496,0.23235009671179885,-0.9044244318347997,1.179578452398673
kgw-002,97919819,128,800,8,0.01,23341,98371,0.23727521322340933,-0.3256460702796866,1.0956238554862507
kgw-002,97919819,256,313,2,0.006389776357827476,18242,76834,0.2374209334409246,-0.45301906631952554,1.1401938402750762
kgw-002,97919819,512,93,0,0.0,10662,45496,0.2343502725514331,-0.799456904421576,0.9559678388228002
kgw-003,61299587,128,800,4,0.005,21403,98371,0.21757428510434987,-0.8301661390422023,1.0629044679937905
kgw-003,61299587,256,313,2,0.006389776357827476,16528,76834,0.21511310097092434,-1.2624422266285444,1.091810079282603
kgw-003,61299587,512,93,0,0.0,9703,45496,0.2132714963952875,-1.8796632187244933,1.0253971907189159
kgw-004,214893571,128,800,1,0.00125,21669,98371,0.22027833406186784,-0.7607862841284345,1.018752953356468
kgw-004,214893571,256,313,0,0.0,16824,76834,0.21896556212093604,-1.1226428974098177,1.0533676744479605
kgw-004,214893571,512,93,0,0.0,9835,45496,0.21617285036047126,-1.7330022086059387,1.1891638089263539
kgw-005,244504453,128,800,33,0.04125,25550,98371,0.25973101828791006,0.24749209368039302,1.1800663811173404
kgw-005,244504453,256,313,21,0.0670926517571885,20038,76834,0.2607960017700497,0.38715997931562435,1.2326128657204192
kgw-005,244504453,512,93,5,0.053763440860215055,11828,45496,0.25997889924388956,0.5108555414587685,1.22669225078975
kgw-006,1615402669,128,800,11,0.01375,24155,98371,0.2455500096573177,-0.11526633034130386,1.0302674170206343
